epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70311,4.0685,5.42444,1.8195,0,0,0,0,3.25486,5.02569,1.33281,2e-05,2e-05,2e-05
2,10.0728,3.90676,5.38257,1.7144,0,0,0,0,3.22405,5.00714,1.27531,4.37822e-05,4.37822e-05,4.37822e-05
3,12.3786,3.37201,5.04521,1.28347,0,0,0,0,3.32788,4.9616,1.15743,6.73268e-05,6.73268e-05,6.73268e-05
4,14.6728,3.35789,4.79056,1.12878,0,0,0,0,3.28744,4.92367,1.10062,9.06338e-05,9.06338e-05,9.06338e-05
5,16.9691,3.23371,4.47249,1.06181,0,0,0,0,3.25521,4.85089,1.06555,0.000113703,0.000113703,0.000113703
6,20.3044,3.07797,4.09512,1.03676,0.04762,1e-05,0.02381,0.00714,2.94517,4.6895,1.02208,0.000136535,0.000136535,0.000136535
7,22.7721,3.03843,3.77218,1.01636,0.02706,0.00237,0.01444,0.00471,2.85202,4.48529,0.99952,0.000159129,0.000159129,0.000159129
8,25.2502,2.89842,3.27596,0.98738,0.02625,0.01395,0.01809,0.00611,2.7539,4.16292,0.97776,0.000181486,0.000181486,0.000181486
9,27.7998,2.81504,2.99858,0.97058,0.03166,0.03877,0.03099,0.01148,2.53102,3.73236,0.95638,0.000203605,0.000203605,0.000203605
10,30.4129,2.65422,2.81803,0.95987,0.03116,0.07608,0.04121,0.01576,2.39408,3.38878,0.94425,0.000225486,0.000225486,0.000225486
11,33.0094,2.59253,2.69303,0.95681,0.04136,0.10013,0.05615,0.02379,2.37691,3.03723,0.93791,0.00024713,0.00024713,0.00024713
12,35.6577,2.64458,2.61626,0.95338,0.05094,0.12644,0.07952,0.0374,2.42696,2.67145,0.93889,0.000268536,0.000268536,0.000268536
13,38.4555,2.56757,2.4773,0.93665,0.05354,0.14719,0.10004,0.05026,2.3246,2.39513,0.93143,0.000289705,0.000289705,0.000289705
14,41.1754,2.52698,2.4301,0.93046,0.4894,0.1281,0.14118,0.07668,2.2751,2.21547,0.92614,0.000310636,0.000310636,0.000310636
15,43.824,2.44007,2.30759,0.92448,0.49178,0.13366,0.14693,0.07641,2.22889,2.13991,0.91978,0.000331329,0.000331329,0.000331329
16,46.5473,2.50243,2.28912,0.92392,0.49898,0.14427,0.16091,0.07969,2.20906,2.02298,0.91352,0.000351785,0.000351785,0.000351785
17,49.2014,2.44899,2.10512,0.91315,0.50393,0.16774,0.17074,0.08345,2.17655,1.96387,0.90987,0.00036832,0.00036832,0.00036832
18,51.8304,2.32932,2.04299,0.90693,0.54853,0.19164,0.183,0.09157,2.11581,1.84492,0.9036,0.00036634,0.00036634,0.00036634
19,54.5274,2.36199,2.00966,0.90593,0.50223,0.19196,0.18512,0.09391,2.08973,1.79867,0.89944,0.00036436,0.00036436,0.00036436
20,57.2163,2.30406,2.00596,0.90186,0.5088,0.20159,0.19651,0.10184,2.06495,1.70816,0.89691,0.00036238,0.00036238,0.00036238
21,59.8694,2.33877,1.95001,0.90309,0.51275,0.20966,0.2035,0.10605,2.05626,1.67093,0.89702,0.0003604,0.0003604,0.0003604
22,62.5158,2.20022,1.83455,0.90279,0.53069,0.21596,0.2152,0.10901,2.08022,1.64242,0.89979,0.00035842,0.00035842,0.00035842
23,65.1792,2.22894,1.79521,0.89174,0.53635,0.21515,0.22003,0.11133,2.02604,1.61266,0.89314,0.00035644,0.00035644,0.00035644
24,67.9504,2.21672,1.73068,0.89541,0.58127,0.22559,0.22995,0.11156,2.00702,1.55587,0.88619,0.00035446,0.00035446,0.00035446
25,70.7085,2.26265,1.75527,0.89181,0.58656,0.23442,0.23947,0.11885,1.98871,1.51636,0.88583,0.00035248,0.00035248,0.00035248
26,73.4136,2.19841,1.6547,0.88406,0.60001,0.24028,0.24766,0.12231,2.11935,1.49366,0.90051,0.0003505,0.0003505,0.0003505
27,76.0931,2.25385,1.63274,0.89589,0.60205,0.24558,0.24935,0.12647,2.06434,1.49791,0.89444,0.00034852,0.00034852,0.00034852
28,78.7863,2.14565,1.58104,0.88079,0.61868,0.25709,0.2553,0.13065,1.9466,1.42401,0.88198,0.00034654,0.00034654,0.00034654
29,81.4498,2.12253,1.51318,0.87239,0.62373,0.25917,0.25978,0.13183,1.99461,1.39604,0.88463,0.00034456,0.00034456,0.00034456
30,84.1045,2.20351,1.58494,0.89142,0.6603,0.26295,0.26052,0.13539,2.04817,1.36305,0.89017,0.00034258,0.00034258,0.00034258
31,86.7256,2.10586,1.44676,0.88202,0.60742,0.26429,0.25873,0.13718,2.03974,1.34554,0.89111,0.0003406,0.0003406,0.0003406
32,89.3709,2.12572,1.52062,0.88048,0.62606,0.26765,0.27272,0.14038,1.96823,1.32269,0.88753,0.00033862,0.00033862,0.00033862
33,91.9962,2.1015,1.44988,0.87173,0.63177,0.27125,0.28431,0.14744,1.89039,1.31719,0.87924,0.00033664,0.00033664,0.00033664
34,94.6477,2.01491,1.40455,0.88103,0.58539,0.27492,0.29691,0.15047,1.92016,1.30099,0.88004,0.00033466,0.00033466,0.00033466
35,97.336,2.12595,1.41659,0.87411,0.62076,0.28791,0.30445,0.15261,1.91711,1.28135,0.87938,0.00033268,0.00033268,0.00033268
36,100.015,2.13139,1.48909,0.88717,0.60071,0.31823,0.31453,0.16232,1.83617,1.23987,0.87056,0.0003307,0.0003307,0.0003307
37,102.729,2.08166,1.41556,0.87283,0.60219,0.31434,0.31513,0.16657,1.84417,1.23486,0.87094,0.00032872,0.00032872,0.00032872
38,105.359,2.02437,1.33637,0.88044,0.61557,0.30945,0.32019,0.16947,1.85849,1.22377,0.87485,0.00032674,0.00032674,0.00032674
39,108.031,2.04348,1.38644,0.87262,0.6251,0.31143,0.32624,0.1731,1.84029,1.2132,0.87241,0.00032476,0.00032476,0.00032476
40,110.802,2.11916,1.39814,0.87304,0.61571,0.3145,0.32995,0.17337,1.83418,1.19403,0.87071,0.00032278,0.00032278,0.00032278
41,113.629,2.04654,1.32922,0.86819,0.61277,0.31438,0.33365,0.17457,1.8292,1.17899,0.87003,0.0003208,0.0003208,0.0003208
42,116.414,2.00191,1.31406,0.87231,0.61288,0.32176,0.34282,0.16955,1.86669,1.16372,0.87298,0.00031882,0.00031882,0.00031882
43,119.098,2.10663,1.33828,0.8752,0.66757,0.32042,0.34464,0.17191,1.8818,1.16533,0.87504,0.00031684,0.00031684,0.00031684
44,121.882,1.97354,1.26025,0.86836,0.68168,0.32294,0.35097,0.18655,1.79483,1.14705,0.86615,0.00031486,0.00031486,0.00031486
45,124.705,2.04113,1.26224,0.86913,0.68343,0.32754,0.35141,0.18754,1.7932,1.14011,0.86543,0.00031288,0.00031288,0.00031288
46,127.483,2.0459,1.2812,0.86472,0.59178,0.33319,0.35776,0.18812,1.79954,1.12259,0.86794,0.0003109,0.0003109,0.0003109
47,130.314,1.95796,1.25832,0.85987,0.59819,0.33732,0.36146,0.18843,1.81172,1.12678,0.86901,0.00030892,0.00030892,0.00030892
48,133.268,1.98347,1.25152,0.86715,0.60674,0.3436,0.36715,0.19496,1.78314,1.11595,0.86679,0.00030694,0.00030694,0.00030694
49,136.022,1.95606,1.1963,0.8658,0.60302,0.34199,0.36512,0.19401,1.77242,1.09135,0.8645,0.00030496,0.00030496,0.00030496
50,138.717,1.9567,1.21278,0.86306,0.60918,0.34542,0.37522,0.20205,1.76109,1.06392,0.86345,0.00030298,0.00030298,0.00030298
51,141.461,2.01243,1.20798,0.87876,0.61218,0.3481,0.37734,0.2008,1.76034,1.0645,0.8639,0.000301,0.000301,0.000301
52,144.162,1.97574,1.20609,0.86577,0.62346,0.35659,0.38365,0.20802,1.73428,1.04474,0.86206,0.00029902,0.00029902,0.00029902
53,146.929,1.9571,1.19232,0.8596,0.57523,0.36413,0.38518,0.209,1.72935,1.03804,0.86188,0.00029704,0.00029704,0.00029704
54,149.648,2.01838,1.22169,0.86179,0.55186,0.36445,0.3869,0.20802,1.74167,1.03545,0.86129,0.00029506,0.00029506,0.00029506
55,152.317,1.90641,1.15099,0.86873,0.604,0.36868,0.39232,0.20752,1.73041,1.0273,0.8616,0.00029308,0.00029308,0.00029308
56,155.022,1.94775,1.19194,0.86566,0.65998,0.37439,0.40077,0.20503,1.75349,0.99894,0.86219,0.0002911,0.0002911,0.0002911
57,157.728,1.98621,1.16664,0.86615,0.66,0.37801,0.40248,0.21359,1.72577,0.99116,0.85993,0.00028912,0.00028912,0.00028912
58,160.533,1.9758,1.22306,0.86536,0.65697,0.38835,0.40855,0.21961,1.7052,0.98232,0.8582,0.00028714,0.00028714,0.00028714
59,163.312,1.96812,1.19442,0.85852,0.6615,0.39069,0.41396,0.22147,1.68872,0.98058,0.85724,0.00028516,0.00028516,0.00028516
60,166.131,1.86023,1.12761,0.85686,0.66437,0.39671,0.41613,0.21805,1.7018,0.98441,0.85823,0.00028318,0.00028318,0.00028318
61,168.817,1.90352,1.14327,0.85451,0.71114,0.39708,0.41745,0.21592,1.7017,0.97419,0.85856,0.0002812,0.0002812,0.0002812
62,171.518,1.9001,1.15761,0.85833,0.66589,0.39368,0.42302,0.22061,1.69837,0.95537,0.85809,0.00027922,0.00027922,0.00027922
63,174.232,1.87561,1.11871,0.85659,0.65832,0.39389,0.42303,0.22235,1.69516,0.95198,0.85732,0.00027724,0.00027724,0.00027724
64,176.924,1.89658,1.14255,0.86084,0.60966,0.39164,0.42551,0.22187,1.7029,0.94019,0.85789,0.00027526,0.00027526,0.00027526
65,179.674,1.96683,1.14547,0.85351,0.61215,0.3987,0.42999,0.22699,1.66388,0.93894,0.85486,0.00027328,0.00027328,0.00027328
66,182.437,1.87385,1.11703,0.85435,0.65285,0.39794,0.43193,0.22949,1.67215,0.94514,0.85584,0.0002713,0.0002713,0.0002713
67,185.182,1.89453,1.10319,0.85738,0.64774,0.3987,0.43542,0.23061,1.68112,0.94455,0.85619,0.00026932,0.00026932,0.00026932
68,188.013,1.92603,1.09821,0.85218,0.65556,0.40602,0.44737,0.23948,1.6511,0.92085,0.85314,0.00026734,0.00026734,0.00026734
69,190.766,1.93075,1.08667,0.86738,0.65827,0.41319,0.45324,0.23995,1.66209,0.91866,0.85334,0.00026536,0.00026536,0.00026536
70,193.555,1.83615,1.06611,0.85485,0.70555,0.41711,0.45547,0.24016,1.66641,0.91456,0.85345,0.00026338,0.00026338,0.00026338
71,196.384,1.84443,1.07568,0.85826,0.66244,0.42313,0.4576,0.24058,1.65793,0.90705,0.85328,0.0002614,0.0002614,0.0002614
72,199.118,1.80886,1.0306,0.85887,0.66419,0.42834,0.45765,0.23963,1.63881,0.90151,0.85288,0.00025942,0.00025942,0.00025942
73,201.811,1.89171,1.09145,0.85405,0.65789,0.4261,0.45435,0.23904,1.651,0.90953,0.8524,0.00025744,0.00025744,0.00025744
74,204.538,1.84426,1.07461,0.86084,0.65668,0.42185,0.45465,0.23748,1.6511,0.91644,0.85304,0.00025546,0.00025546,0.00025546
75,207.203,1.82422,1.02876,0.85355,0.66361,0.42815,0.46484,0.24395,1.64302,0.90858,0.85231,0.00025348,0.00025348,0.00025348
76,209.934,1.90666,1.06749,0.85936,0.66965,0.42901,0.46645,0.24741,1.63569,0.9133,0.85219,0.0002515,0.0002515,0.0002515
77,212.702,1.80649,1.06548,0.85628,0.67417,0.42988,0.46712,0.24971,1.61271,0.90312,0.84991,0.00024952,0.00024952,0.00024952
78,215.462,1.79401,1.02879,0.84687,0.68749,0.43355,0.47419,0.25412,1.60222,0.89518,0.84807,0.00024754,0.00024754,0.00024754
79,218.187,1.84155,1.03941,0.85246,0.68284,0.43856,0.47652,0.25556,1.60332,0.89774,0.84849,0.00024556,0.00024556,0.00024556
80,220.926,1.89171,1.05135,0.85342,0.68377,0.44171,0.47861,0.25675,1.61452,0.90481,0.84972,0.00024358,0.00024358,0.00024358
81,223.625,1.78454,1.01253,0.85062,0.6872,0.4402,0.47763,0.25674,1.6079,0.8954,0.84956,0.0002416,0.0002416,0.0002416
82,226.4,1.81309,1.0394,0.85694,0.69247,0.44159,0.47975,0.25207,1.63977,0.87253,0.85125,0.00023962,0.00023962,0.00023962
83,229.205,1.86083,1.02779,0.8547,0.73897,0.44199,0.47996,0.25252,1.63926,0.87455,0.85228,0.00023764,0.00023764,0.00023764
84,231.886,1.80044,1.01635,0.8577,0.73697,0.44299,0.48175,0.25774,1.58968,0.87391,0.84738,0.00023566,0.00023566,0.00023566
85,234.642,1.86089,1.04024,0.8505,0.69117,0.44404,0.48261,0.25878,1.5942,0.88007,0.84772,0.00023368,0.00023368,0.00023368
86,237.405,1.81252,1.01913,0.84707,0.69808,0.44258,0.48734,0.25847,1.62028,0.89515,0.85,0.0002317,0.0002317,0.0002317
87,240.154,1.845,1.01783,0.85153,0.69264,0.44351,0.48574,0.25621,1.6315,0.89343,0.84992,0.00022972,0.00022972,0.00022972
88,242.878,1.84528,1.02648,0.85022,0.74313,0.44768,0.516,0.27204,1.59755,0.86054,0.84672,0.00022774,0.00022774,0.00022774
89,245.56,1.6944,0.9432,0.85245,0.73968,0.44473,0.49031,0.26261,1.59309,0.85152,0.84669,0.00022576,0.00022576,0.00022576
90,248.298,1.82374,0.98626,0.85065,0.73645,0.45042,0.51674,0.27593,1.58177,0.85103,0.84691,0.00022378,0.00022378,0.00022378
91,250.958,1.8241,1.00097,0.84881,0.74798,0.44699,0.51693,0.27395,1.56498,0.84653,0.84618,0.0002218,0.0002218,0.0002218
92,253.687,1.82184,1.05059,0.85188,0.73891,0.45046,0.48758,0.26365,1.59468,0.85757,0.84934,0.00021982,0.00021982,0.00021982
93,256.402,1.77601,0.96905,0.84604,0.74871,0.4471,0.49067,0.26488,1.59044,0.86184,0.84911,0.00021784,0.00021784,0.00021784
94,259.276,1.84259,1.01338,0.84496,0.79461,0.44833,0.52046,0.27571,1.56547,0.8585,0.84673,0.00021586,0.00021586,0.00021586
95,262.077,1.76581,0.99084,0.84726,0.79554,0.45363,0.5234,0.27676,1.56203,0.8473,0.84628,0.00021388,0.00021388,0.00021388
96,264.811,1.71849,0.96626,0.85172,0.8001,0.45658,0.52862,0.27562,1.59479,0.83816,0.8482,0.0002119,0.0002119,0.0002119
97,267.59,1.8658,1.02323,0.85144,0.79235,0.45966,0.5268,0.27731,1.58834,0.84263,0.84708,0.00020992,0.00020992,0.00020992
98,270.346,1.84956,0.99626,0.84491,0.83789,0.44753,0.52383,0.27563,1.55957,0.83873,0.84507,0.00020794,0.00020794,0.00020794
99,272.983,1.80304,1.02531,0.85795,0.83431,0.4508,0.52044,0.2777,1.56235,0.8385,0.8457,0.00020596,0.00020596,0.00020596
